"","Park","Year","SingleVisitorEntryFee"
"459","Congaree NP","2009",NA
"460","Congaree NP","2010",NA
"461","Congaree NP","2011",NA
"462","Congaree NP","2012",NA
"463","Congaree NP","2013",NA
"464","Congaree NP","2014",NA
"465","Congaree NP","2015",NA
"466","Congaree NP","2016",NA
"467","Congaree NP","2017",NA
"468","Congaree NP","2018",NA
"469","Crater Lake NP","1980",NA
"470","Crater Lake NP","1981",NA
"471","Crater Lake NP","1982",NA
"472","Crater Lake NP","1983",NA
"473","Crater Lake NP","1984",NA
"474","Crater Lake NP","1985",NA
"475","Crater Lake NP","1986",NA
"476","Crater Lake NP","1987",NA
"477","Crater Lake NP","1988",NA
"478","Crater Lake NP","1989",NA
"479","Crater Lake NP","1990",NA
"480","Crater Lake NP","1991",NA
"481","Crater Lake NP","1992",NA
"482","Crater Lake NP","1993",NA
"483","Crater Lake NP","1994",NA
"484","Crater Lake NP","1995",NA
"485","Crater Lake NP","1996",NA
"486","Crater Lake NP","1997",NA
"487","Crater Lake NP","1998",NA
"488","Crater Lake NP","1999",NA
"489","Crater Lake NP","2000",NA
"490","Crater Lake NP","2001",NA
"491","Crater Lake NP","2002",NA
"492","Crater Lake NP","2003",NA
"493","Crater Lake NP","2004",NA
"494","Crater Lake NP","2005",NA
"495","Crater Lake NP","2006",NA
"496","Crater Lake NP","2007",NA
"497","Crater Lake NP","2008",NA
"498","Crater Lake NP","2009",NA
"499","Crater Lake NP","2010",NA
"500","Crater Lake NP","2011",NA
"501","Crater Lake NP","2012",NA
"502","Crater Lake NP","2013",NA
"503","Crater Lake NP","2014",NA
"504","Crater Lake NP","2015",NA
"505","Crater Lake NP","2016",NA
"506","Crater Lake NP","2017",NA
"507","Crater Lake NP","2018",NA
"508","Cuyahoga Valley NP","1980",NA
"509","Cuyahoga Valley NP","1981",NA
"510","Cuyahoga Valley NP","1982",NA
"511","Cuyahoga Valley NP","1983",NA
"512","Cuyahoga Valley NP","1984",NA
"513","Cuyahoga Valley NP","1985",NA
"514","Cuyahoga Valley NP","1986",NA
"515","Cuyahoga Valley NP","1987",NA
"516","Cuyahoga Valley NP","1988",NA
"517","Cuyahoga Valley NP","1989",NA
"518","Cuyahoga Valley NP","1990",NA
"519","Cuyahoga Valley NP","1991",NA
"520","Cuyahoga Valley NP","1992",NA
"521","Cuyahoga Valley NP","1993",NA
"522","Cuyahoga Valley NP","1994",NA
"523","Cuyahoga Valley NP","1995",NA
"524","Cuyahoga Valley NP","1996",NA
"525","Cuyahoga Valley NP","1997",NA
"526","Cuyahoga Valley NP","1998",NA
"527","Cuyahoga Valley NP","1999",NA
"528","Cuyahoga Valley NP","2000",NA
"529","Cuyahoga Valley NP","2001",NA
"530","Cuyahoga Valley NP","2002",NA
"531","Cuyahoga Valley NP","2003",NA
"532","Cuyahoga Valley NP","2004",NA
"533","Cuyahoga Valley NP","2005",NA
"534","Cuyahoga Valley NP","2006",NA
"535","Cuyahoga Valley NP","2007",NA
"536","Cuyahoga Valley NP","2008",NA
"537","Cuyahoga Valley NP","2009",NA
"538","Cuyahoga Valley NP","2010",NA
"539","Cuyahoga Valley NP","2011",NA
"540","Cuyahoga Valley NP","2012",NA
"541","Cuyahoga Valley NP","2013",NA
"542","Cuyahoga Valley NP","2014",NA
"543","Cuyahoga Valley NP","2015",NA
"544","Cuyahoga Valley NP","2016",NA
"545","Cuyahoga Valley NP","2017",NA
"546","Cuyahoga Valley NP","2018",NA
"547","Denali NP & PRES","1980",NA
"548","Denali NP & PRES","1981",NA
"549","Denali NP & PRES","1982",NA
"550","Denali NP & PRES","1983",NA
"551","Denali NP & PRES","1984",NA
"552","Denali NP & PRES","1985",NA
"553","Denali NP & PRES","1986",NA
"554","Denali NP & PRES","1987",NA
"555","Denali NP & PRES","1988",NA
"556","Denali NP & PRES","1989",NA
"557","Denali NP & PRES","1990",NA
"558","Denali NP & PRES","1991",NA
"559","Denali NP & PRES","1992",NA
"560","Denali NP & PRES","1993",NA
"561","Denali NP & PRES","1994",NA
"562","Denali NP & PRES","1995",NA
"563","Denali NP & PRES","1996",NA
"564","Denali NP & PRES","1997",NA
"565","Denali NP & PRES","1998",NA
"566","Denali NP & PRES","1999",NA
"567","Denali NP & PRES","2000",NA
"568","Denali NP & PRES","2001",NA
"569","Denali NP & PRES","2002",NA
"570","Denali NP & PRES","2003",NA
"571","Denali NP & PRES","2004",NA
"572","Denali NP & PRES","2005",NA
"573","Denali NP & PRES","2006",NA
"574","Denali NP & PRES","2007",NA
"575","Denali NP & PRES","2008",NA
"576","Denali NP & PRES","2009",NA
"577","Denali NP & PRES","2010",NA
"578","Denali NP & PRES","2011",NA
"579","Denali NP & PRES","2012",NA
"580","Denali NP & PRES","2013",NA
"581","Denali NP & PRES","2014",NA
"582","Denali NP & PRES","2015",NA
"583","Denali NP & PRES","2016",NA
"584","Denali NP & PRES","2017",NA
"585","Denali NP & PRES","2018",NA
"586","Death Valley NP","1980",NA
"587","Death Valley NP","1981",NA
"588","Death Valley NP","1982",NA
"589","Death Valley NP","1983",NA
"590","Death Valley NP","1984",NA
"591","Death Valley NP","1985",NA
"592","Death Valley NP","1986",NA
"593","Death Valley NP","1987",NA
"594","Death Valley NP","1988",NA
"595","Death Valley NP","1989",NA
"596","Death Valley NP","1990",NA
"597","Death Valley NP","1991",NA
"598","Death Valley NP","1992",NA
"599","Death Valley NP","1993",NA
"600","Death Valley NP","1994",NA
"601","Death Valley NP","1995",NA
"602","Death Valley NP","1996",NA
"603","Death Valley NP","1997",NA
"604","Death Valley NP","1998",NA
"605","Death Valley NP","1999",NA
"606","Death Valley NP","2000",NA
"607","Death Valley NP","2001",NA
"608","Death Valley NP","2002",NA
"609","Death Valley NP","2003",NA
"610","Death Valley NP","2004",NA
"611","Death Valley NP","2005",NA
"612","Death Valley NP","2006",NA
"613","Death Valley NP","2007",NA
"614","Death Valley NP","2008",NA
"615","Death Valley NP","2009",NA
"616","Death Valley NP","2010",NA
"617","Death Valley NP","2011",NA
"618","Death Valley NP","2012",NA
"619","Death Valley NP","2013",NA
"620","Death Valley NP","2014",NA
"621","Death Valley NP","2015",NA
"622","Death Valley NP","2016",NA
"623","Death Valley NP","2017",NA
"624","Death Valley NP","2018",NA
"625","Dry Tortugas NP","1980",NA
"626","Dry Tortugas NP","1981",NA
"627","Dry Tortugas NP","1982",NA
"628","Dry Tortugas NP","1983",NA
"629","Dry Tortugas NP","1984",NA
"630","Dry Tortugas NP","1985",NA
"631","Dry Tortugas NP","1986",NA
"632","Dry Tortugas NP","1987",NA
"633","Dry Tortugas NP","1988",NA
"634","Dry Tortugas NP","1989",NA
"635","Dry Tortugas NP","1990",NA
"636","Dry Tortugas NP","1991",NA
"637","Dry Tortugas NP","1992",NA
"638","Dry Tortugas NP","1993",NA
"639","Dry Tortugas NP","1994",NA
"640","Dry Tortugas NP","1995",NA
"641","Dry Tortugas NP","1996",NA
"642","Dry Tortugas NP","1997",NA
"643","Dry Tortugas NP","1998",NA
"644","Dry Tortugas NP","1999",NA
"645","Dry Tortugas NP","2000",NA
"646","Dry Tortugas NP","2001",NA
"647","Dry Tortugas NP","2002",NA
"648","Dry Tortugas NP","2003",NA
"649","Dry Tortugas NP","2004",NA
"650","Dry Tortugas NP","2005",NA
"651","Dry Tortugas NP","2006",NA
"652","Dry Tortugas NP","2007",NA
"653","Dry Tortugas NP","2008",NA
"654","Dry Tortugas NP","2009",NA
"655","Dry Tortugas NP","2010",NA
"656","Dry Tortugas NP","2011",NA
"657","Dry Tortugas NP","2012",NA
"658","Dry Tortugas NP","2013",NA
"659","Dry Tortugas NP","2014",NA
"660","Dry Tortugas NP","2015",NA
"661","Dry Tortugas NP","2016",NA
"662","Dry Tortugas NP","2017",NA
"663","Dry Tortugas NP","2018",NA
"664","Everglades NP","1980",NA
"665","Everglades NP","1981",NA
"666","Everglades NP","1982",NA
"667","Everglades NP","1983",NA
"668","Everglades NP","1984",NA
"669","Everglades NP","1985",NA
"670","Everglades NP","1986",NA
"671","Everglades NP","1987",NA
"672","Everglades NP","1988",NA
"673","Everglades NP","1989",NA
"674","Everglades NP","1990",NA
"675","Everglades NP","1991",NA
"676","Everglades NP","1992",NA
"677","Everglades NP","1993",NA
"678","Everglades NP","1994",NA
"679","Everglades NP","1995",NA
"680","Everglades NP","1996",NA
"681","Everglades NP","1997",NA
"682","Everglades NP","1998",NA
"683","Everglades NP","1999",NA
"684","Everglades NP","2000",NA
"685","Everglades NP","2001",NA
"686","Everglades NP","2002",NA
"687","Everglades NP","2003",NA
"688","Everglades NP","2004",NA
"689","Everglades NP","2005",NA
"690","Everglades NP","2006",NA
"691","Everglades NP","2007",NA
"692","Everglades NP","2008",NA
"693","Everglades NP","2009",NA
"694","Everglades NP","2010",NA
"695","Everglades NP","2011",NA
"696","Everglades NP","2012",NA
