,X1,UnitCode,Year,Month,ParkName,RecreationVisits,Smoke,stdsmoke,Season,CatColS,CatColM
85,841,ARCH,2011,1,Arches NP,10182,1.67E-09,0.025894012,Winter,ARCHWinter,ARCH01
86,851,ARCH,2011,11,Arches NP,30863,3.30E-09,0.496135563,Fall,ARCHFall,ARCH11
87,861,ARCH,2012,9,Arches NP,139801,1.11E-09,-0.13578811,Fall,ARCHFall,ARCH09
88,871,ARCH,2013,7,Arches NP,156182,1.54E-09,-0.013501011,Summer,ARCHSummer,ARCH07
89,881,ARCH,2014,5,Arches NP,165379,3.13E-09,0.44584497,Spring,ARCHSpring,ARCH05
90,891,ARCH,2015,3,Arches NP,103649,2.07E-09,0.141227053,Spring,ARCHSpring,ARCH03
91,901,ARCH,2016,1,Arches NP,20311,8.95E-10,-0.199043167,Winter,ARCHWinter,ARCH01
92,911,ARCH,2016,11,Arches NP,69404,9.64E-10,-0.179258026,Fall,ARCHFall,ARCH11
93,921,ARCH,2017,9,Arches NP,187603,1.44E-09,-0.04070208,Fall,ARCHFall,ARCH09
94,931,ARCH,2018,7,Arches NP,205493,1.53E-09,-0.016922739,Summer,ARCHSummer,ARCH07
95,941,BADL,1980,5,Badlands NP,64454,1.45E-09,-0.038540511,Spring,BADLSpring,BADL05
96,951,BADL,1981,3,Badlands NP,20524,1.20E-09,-0.111803137,Spring,BADLSpring,BADL03
97,961,BADL,1982,1,Badlands NP,12264,1.11E-09,-0.136143304,Winter,BADLWinter,BADL01
98,971,BADL,1982,11,Badlands NP,19208,8.28E-10,-0.218444646,Fall,BADLFall,BADL11
99,981,BADL,1983,9,Badlands NP,122929,9.13E-10,-0.193858077,Fall,BADLFall,BADL09
100,991,BADL,1984,7,Badlands NP,298925,8.42E-10,-0.214434393,Summer,BADLSummer,BADL07
101,1001,BADL,1985,5,Badlands NP,77782,2.66E-09,0.310855733,Spring,BADLSpring,BADL05
102,1011,BADL,1986,3,Badlands NP,18332,1.53E-09,-0.016186207,Spring,BADLSpring,BADL03
103,1021,BADL,1987,1,Badlands NP,14852,5.49E-10,-0.298952413,Winter,BADLWinter,BADL01
104,1031,BADL,1987,11,Badlands NP,24631,1.12E-09,-0.135224016,Fall,BADLFall,BADL11
105,1041,BADL,1988,9,Badlands NP,126459,9.64E-10,-0.179190102,Fall,BADLFall,BADL09
106,1051,BADL,1989,7,Badlands NP,305833,9.38E-10,-0.186819208,Summer,BADLSummer,BADL07
107,1061,BADL,1990,5,Badlands NP,95403,1.82E-09,0.06842186,Spring,BADLSpring,BADL05
108,1071,BADL,1991,3,Badlands NP,26613,1.52E-09,-0.019959605,Spring,BADLSpring,BADL03
109,1081,BADL,1992,1,Badlands NP,8513,7.72E-10,-0.23456518,Winter,BADLWinter,BADL01
110,1091,BADL,1992,11,Badlands NP,14227,1.02E-09,-0.163963064,Fall,BADLFall,BADL11
111,1101,BADL,1993,9,Badlands NP,120981,8.16E-10,-0.221818939,Fall,BADLFall,BADL09
112,1111,BADL,1994,7,Badlands NP,289085,8.38E-10,-0.215673294,Summer,BADLSummer,BADL07
113,1121,BADL,1995,5,Badlands NP,64642,1.73E-09,0.041439046,Spring,BADLSpring,BADL05
114,1131,BADL,1996,3,Badlands NP,9457,1.31E-09,-0.07957072,Spring,BADLSpring,BADL03
115,1141,BADL,1997,1,Badlands NP,9197,9.60E-10,-0.180308934,Winter,BADLWinter,BADL01
116,1151,BADL,1997,11,Badlands NP,11219,7.63E-10,-0.237232834,Fall,BADLFall,BADL11
117,1161,BADL,1998,9,Badlands NP,125014,6.85E-10,-0.259834711,Fall,BADLFall,BADL09
118,1171,BADL,1999,7,Badlands NP,222487,1.36E-09,-0.066327238,Summer,BADLSummer,BADL07
119,1181,BADL,2000,5,Badlands NP,56457,5.38E-09,1.095915089,Spring,BADLSpring,BADL05
120,1191,BADL,2001,3,Badlands NP,8837,2.63E-09,0.301027635,Spring,BADLSpring,BADL03
121,1201,BADL,2002,1,Badlands NP,9372,1.43E-09,-0.044148095,Winter,BADLWinter,BADL01
122,1211,BADL,2002,11,Badlands NP,19121,1.50E-09,-0.02448924,Fall,BADLFall,BADL11
123,1221,BADL,2003,9,Badlands NP,109614,1.03E-09,-0.159089833,Fall,BADLFall,BADL09
124,1231,BADL,2004,7,Badlands NP,227954,2.47E-09,0.254639817,Summer,BADLSummer,BADL07
125,1241,BADL,2005,5,Badlands NP,62729,3.24E-09,0.476443803,Spring,BADLSpring,BADL05
126,1251,BADL,2006,3,Badlands NP,12192,2.62E-09,0.29954592,Spring,BADLSpring,BADL03
127,1261,BADL,2007,1,Badlands NP,14820,1.70E-09,0.034470377,Winter,BADLWinter,BADL01
128,1271,BADL,2007,11,Badlands NP,14174,1.29E-09,-0.086086762,Fall,BADLFall,BADL11
129,1281,BADL,2008,9,Badlands NP,94323,1.49E-09,-0.026808797,Fall,BADLFall,BADL09
