"","UnitCode","Year","Month","ParkName","RecreationVisits","Smoke"
"157","ACAD","1993","01","Acadia NP",19402,2.7192426088618e-10
"158","ACAD","1993","02","Acadia NP",15556,2.80900136484519e-10
"159","ACAD","1993","03","Acadia NP",29040,4.54096038549068e-10
"160","ACAD","1993","04","Acadia NP",57707,8.49809944636348e-10
"161","ACAD","1993","05","Acadia NP",192823,6.19326867568049e-10
"162","ACAD","1993","06","Acadia NP",300647,4.25378565704904e-10
"163","ACAD","1993","07","Acadia NP",586449,2.58291554811052e-10
"164","ACAD","1993","08","Acadia NP",719671,2.28381938360833e-10
"165","ACAD","1993","09","Acadia NP",417317,2.71438482801756e-10
"166","ACAD","1993","10","Acadia NP",254615,3.67537750234348e-10
"167","ACAD","1993","11","Acadia NP",43755,5.61977353541465e-10
"168","ACAD","1993","12","Acadia NP",19052,3.84108245210513e-10
"169","ACAD","1994","01","Acadia NP",13364,2.5959667748765e-10
"170","ACAD","1994","02","Acadia NP",18112,4.5050063679497e-10
"171","ACAD","1994","03","Acadia NP",29086,6.42399189398901e-10
"172","ACAD","1994","04","Acadia NP",58788,5.80593351173775e-10
"173","ACAD","1994","05","Acadia NP",182781,6.79399758674037e-10
"174","ACAD","1994","06","Acadia NP",311803,6.85185019833057e-10
"175","ACAD","1994","07","Acadia NP",617622,2.50770654242061e-10
"176","ACAD","1994","08","Acadia NP",720079,5.17692166912553e-10
"177","ACAD","1994","09","Acadia NP",421106,3.12982084693658e-10
"178","ACAD","1994","10","Acadia NP",268779,4.5307926854754e-10
"179","ACAD","1994","11","Acadia NP",48907,4.13372308605275e-10
"180","ACAD","1994","12","Acadia NP",20322,2.68888328269767e-10
"181","ACAD","1995","01","Acadia NP",14894,1.82955595118273e-10
"182","ACAD","1995","02","Acadia NP",20510,3.06444813968909e-10
"183","ACAD","1995","03","Acadia NP",32120,3.68872182798796e-10
"184","ACAD","1995","04","Acadia NP",86198,8.87559137296989e-10
"185","ACAD","1995","05","Acadia NP",175550,6.55149323680604e-10
"186","ACAD","1995","06","Acadia NP",355270,6.58644805362485e-10
"187","ACAD","1995","07","Acadia NP",626947,4.82468565099481e-10
"188","ACAD","1995","08","Acadia NP",753799,3.88100968029548e-10
"189","ACAD","1995","09","Acadia NP",439553,3.64427987786797e-10
"190","ACAD","1995","10","Acadia NP",271606,5.30333277293238e-10
"191","ACAD","1995","11","Acadia NP",54121,5.56802770557141e-10
"192","ACAD","1995","12","Acadia NP",14810,3.7855457657443e-10
"193","ACAD","1996","01","Acadia NP",17655,5.6047216867583e-10
"194","ACAD","1996","02","Acadia NP",15576,4.73048322735536e-10
"195","ACAD","1996","03","Acadia NP",32452,6.78262945807973e-10
"196","ACAD","1996","04","Acadia NP",76597,8.4637952202371e-10
"197","ACAD","1996","05","Acadia NP",166290,1.15711973336374e-09
"198","ACAD","1996","06","Acadia NP",327723,1.0714792386679e-09
"199","ACAD","1996","07","Acadia NP",571017,5.07627051504755e-10
"200","ACAD","1996","08","Acadia NP",714090,2.9930677380996e-10
"201","ACAD","1996","09","Acadia NP",426562,7.3356531959945e-10
"202","ACAD","1996","10","Acadia NP",280577,4.99784436058803e-10
"203","ACAD","1996","11","Acadia NP",56828,5.48201706251916e-10
"204","ACAD","1996","12","Acadia NP",19464,2.34924080189103e-10
"205","ACAD","1997","01","Acadia NP",16292,5.3427379187454e-10
"206","ACAD","1997","02","Acadia NP",17230,5.16826248464497e-10
"207","ACAD","1997","03","Acadia NP",27035,5.73569691741938e-10
"208","ACAD","1997","04","Acadia NP",77005,1.04197384054316e-09
"209","ACAD","1997","05","Acadia NP",132194,1.19407217447076e-09
"210","ACAD","1997","06","Acadia NP",340064,6.06341976627789e-10
"211","ACAD","1997","07","Acadia NP",622847,3.59453272702481e-10
"212","ACAD","1997","08","Acadia NP",758140,4.06937011865338e-10
"213","ACAD","1997","09","Acadia NP",404808,4.98856844721729e-10
"214","ACAD","1997","10","Acadia NP",287171,4.17247514317154e-10
"215","ACAD","1997","11","Acadia NP",57810,3.28837401752935e-10
"216","ACAD","1997","12","Acadia NP",19710,2.00860217347554e-10
"217","ACAD","1998","01","Acadia NP",16726,2.22702148389153e-10
"218","ACAD","1998","02","Acadia NP",17028,2.76999534420952e-10
"219","ACAD","1998","03","Acadia NP",27500,8.23010160022619e-10
"220","ACAD","1998","04","Acadia NP",81896,1.13524034617285e-09
"221","ACAD","1998","05","Acadia NP",148052,8.28138335684514e-10
"222","ACAD","1998","06","Acadia NP",307208,3.57861601463227e-10
"223","ACAD","1998","07","Acadia NP",565477,1.72239181250866e-10
"224","ACAD","1998","08","Acadia NP",701097,5.56627743897309e-10
"225","ACAD","1998","09","Acadia NP",391378,1.57010932033685e-10
"226","ACAD","1998","10","Acadia NP",266138,3.00780372830545e-10
"227","ACAD","1998","11","Acadia NP",55225,2.7022159510004e-10
"228","ACAD","1998","12","Acadia NP",16772,3.04999442368725e-10
"229","ACAD","1999","01","Acadia NP",16430,3.17414816652928e-10
"230","ACAD","1999","02","Acadia NP",17162,3.28644278457801e-10
"231","ACAD","1999","03","Acadia NP",33688,5.11970910110904e-10
"232","ACAD","1999","04","Acadia NP",82993,5.98560534470494e-10
"233","ACAD","1999","05","Acadia NP",174610,7.14739156748578e-10
"234","ACAD","1999","06","Acadia NP",315980,6.16598716529637e-10
"235","ACAD","1999","07","Acadia NP",562996,6.20482054625171e-10
"236","ACAD","1999","08","Acadia NP",639073,3.09758246830327e-10
"237","ACAD","1999","09","Acadia NP",426024,2.87002005494585e-10
"238","ACAD","1999","10","Acadia NP",277644,3.32051608431527e-10
"239","ACAD","1999","11","Acadia NP",39416,3.20097337525027e-10
"240","ACAD","1999","12","Acadia NP",16211,3.40807715382141e-10
"241","ACAD","2000","01","Acadia NP",22500,3.88416132590663e-10
